,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2019-04-02,0,0,4.91,1,0,3.2,6,2,2,0,5,2,3.00
1,2019-04-07,0,1,9.53,1,0,2.0,4,4,4,0,3,1,3.18
2,2019-04-15,0,0,9.00,1,0,4.1,6,4,4,1,3,0,2.70
3,2019-04-21,1,0,7.63,1,0,5.1,5,4,3,2,2,3,2.22
4,2019-04-26,0,0,7.52,1,0,5.0,3,4,4,1,5,4,2.07
5,April,1,1,7.52,5,0,20.1,24,18,17,4,18,10,2.07
6,2019-05-01,0,1,7.99,1,0,3.1,4,4,4,0,2,3,2.03
7,2019-05-08,0,0,7.48,1,0,4.0,4,2,2,1,1,6,1.92
8,2019-05-14,0,1,9.51,1,0,1.2,7,8,8,0,2,1,2.11
9,2019-05-20,0,0,10.27,0,0,1.1,3,4,4,1,1,2,2.15
10,2019-05-26,0,0,9.95,0,0,1.0,1,0,0,0,0,1,2.12
11,2019-05-28,0,0,9.64,0,0,1.0,0,0,0,0,0,0,2.05
12,2019-05-30,0,0,9.36,0,0,1.0,0,0,0,0,0,2,1.99
13,May,0,2,12.15,3,0,13.1,19,18,18,2,6,15,1.88
14,2019-06-02,0,0,9.26,0,0,0.1,1,0,0,0,0,0,2.00
15,2019-06-04,0,0,9.25,0,0,2.0,4,2,2,1,0,0,2.00
16,2019-06-07,0,0,9.00,0,0,1.0,2,1,0,0,0,1,2.00
17,2019-06-09,0,0,9.47,0,0,1.0,3,3,3,0,1,1,2.05
18,2019-06-16,0,0,8.78,0,0,3.0,2,0,0,0,1,1,1.98
19,2019-06-19,0,0,8.37,0,0,2.0,2,2,0,0,2,1,1.98
20,2019-06-25,0,0,8.59,0,0,1.0,1,2,2,1,1,1,1.98
21,June,0,0,6.10,0,0,10.1,15,10,7,2,5,5,1.94
