,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2018-04-10,0,0,36.00,0,0,1.0,2,4,4,1,2,2,4.00
1,2018-04-12,0,0,31.50,0,0,1.0,1,3,3,0,3,0,4.00
2,April,0,0,31.50,0,0,2.0,3,7,7,1,5,2,4.00
3,2018-05-23,0,0,15.75,0,0,2.0,0,0,0,0,2,3,2.50
4,2018-05-25,0,0,13.50,0,0,0.2,0,0,0,0,0,0,2.14
5,2018-05-27,0,0,14.40,0,0,0.1,1,1,1,1,0,0,2.20
6,2018-05-28,0,0,13.50,0,0,1.0,2,1,1,0,2,2,2.50
7,May,0,0,4.50,0,0,4.0,3,2,2,1,4,5,1.75
8,2018-07-09,0,0,15.63,0,0,0.1,2,2,2,0,0,0,2.68
9,2018-07-11,0,0,24.43,0,0,0.2,5,8,8,2,3,0,3.57
10,July,0,0,90.00,0,0,1.0,7,10,10,2,3,0,10.00
