,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2019-05-21,0,1,3.60,1,0,5.0,3,2,2,0,1,6,0.80
1,2019-05-27,1,0,3.38,1,0,5.2,4,2,2,1,1,7,0.84
2,May,1,1,3.38,2,0,10.2,7,4,4,1,2,13,0.84
3,2019-06-01,0,0,3.60,1,0,4.1,7,3,2,1,2,6,1.20
4,2019-06-06,0,0,3.10,0,0,5.1,3,1,1,1,1,1,1.08
5,2019-06-12,0,0,3.42,0,0,6.0,4,3,3,2,0,6,0.99
6,2019-06-17,0,0,3.03,0,0,6.1,3,1,1,0,0,6,0.89
7,2019-06-22,0,1,3.35,1,0,5.0,4,3,3,1,3,6,0.96
8,2019-06-28,0,0,2.95,0,0,5.0,3,0,0,0,1,2,0.94
9,June,0,1,2.81,2,0,32.0,24,11,10,5,7,27,0.97
10,2019-07-04,0,1,3.56,0,0,5.1,7,5,5,2,1,4,1.00
11,2019-07-12,0,0,3.40,0,0,2.1,0,0,0,0,0,5,0.95
12,2019-07-17,0,1,3.95,0,0,4.1,5,5,5,3,3,2,1.02
13,2019-07-23,0,1,4.45,1,0,6.0,9,6,6,3,0,5,1.07
14,2019-07-28,0,0,4.39,0,0,5.0,6,2,2,1,1,5,1.10
15,July,0,3,7.04,1,0,23.0,27,18,18,9,5,21,1.39
16,2019-08-04,0,1,4.33,0,0,5.0,4,2,2,0,1,7,1.09
17,2019-08-10,0,1,4.70,0,0,4.0,6,5,5,3,0,0,1.11
18,2019-08-15,1,0,4.69,0,0,4.0,6,2,2,1,0,3,1.13
19,2019-08-20,1,0,4.84,0,0,5.0,6,4,4,0,1,4,1.15
20,2019-08-26,0,1,5.08,0,0,5.0,8,5,5,3,2,1,1.20
21,2019-08-31,0,0,4.90,1,0,5.0,3,1,1,0,1,4,1.17
22,August,2,3,6.11,1,0,28.0,33,19,19,7,5,19,1.36
23,2019-09-06,0,1,4.98,0,0,4.0,3,4,3,1,1,5,1.17
24,2019-09-12,0,0,4.93,0,0,4.2,3,2,2,0,0,5,1.14
25,2019-09-18,1,0,4.70,0,0,5.0,2,0,0,0,0,1,1.11
26,2019-09-24,0,1,4.76,0,0,4.1,3,3,3,1,3,3,1.12
27,September,1,2,4.00,0,0,18.0,11,9,8,2,4,14,0.83
