,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2018-04-17,1,0,0.00,1,0,7.0,5,0,0,0,2,8,1.00
1,2018-04-23,0,0,2.25,1,0,5.0,4,3,3,1,2,6,1.08
2,2018-04-29,0,1,3.00,1,0,6.0,4,4,3,1,1,5,1.00
3,April,1,1,3.00,3,0,18.0,13,7,6,2,5,19,1.00
4,2018-05-05,0,0,2.25,1,0,6.0,4,0,0,0,1,12,0.96
5,2018-05-16,0,1,2.79,1,0,5.0,5,3,3,1,1,1,1.00
6,2018-05-22,0,0,2.75,1,0,7.0,4,2,2,1,2,3,0.97
7,2018-05-28,0,0,2.25,1,0,8.0,4,0,0,0,0,6,0.89
8,May,0,1,1.73,4,0,26.0,17,5,5,2,4,22,0.81
9,2018-06-02,0,0,2.77,1,0,4.2,7,4,4,0,2,6,0.99
10,June,0,0,7.71,1,0,4.2,7,4,4,0,2,6,1.93
11,2018-07-12,0,0,3.10,1,0,3.2,3,3,3,0,3,3,1.03
12,2018-07-21,0,0,2.95,1,0,5.2,2,1,1,1,3,5,1.02
13,2018-07-26,1,0,3.43,1,0,5.0,7,5,5,0,3,4,1.10
14,2018-07-31,1,0,3.39,1,0,6.0,5,2,2,1,2,6,1.10
15,July,2,0,4.87,4,0,20.1,17,11,11,2,11,18,1.38
16,2018-08-05,1,0,3.12,1,0,6.0,3,0,0,0,1,10,1.07
17,2018-08-12,0,0,3.39,1,0,4.2,7,4,4,0,1,3,1.10
18,2018-08-18,1,0,3.12,1,0,7.0,1,0,0,0,1,7,1.04
19,2018-08-23,0,1,3.44,1,0,5.0,8,5,5,0,2,2,1.09
20,2018-08-29,0,0,3.60,1,0,3.1,5,4,3,0,6,2,1.17
21,August,2,1,4.15,5,0,26.0,24,13,12,0,11,24,1.35
22,2018-09-03,1,0,3.60,1,0,5.0,4,3,2,1,1,3,1.16
23,2018-09-09,0,0,3.77,1,0,2.2,2,3,3,0,6,1,1.21
24,2018-09-23,0,1,3.91,1,0,3.1,5,5,3,1,0,5,1.22
25,2018-09-29,1,0,3.76,0,0,4.0,1,1,0,0,1,2,1.19
26,September,2,1,4.80,3,0,15.0,12,12,8,2,8,11,1.33
