,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2020-07-24,1,0,0.00,1.0,0,0,0,1,1,1.00
1,2020-07-28,0,0,4.50,1.0,1,1,1,0,3,1.00
2,July,1,0,4.50,2.0,1,1,1,1,4,1.00
3,2020-08-01,0,0,3.00,1.0,1,0,0,1,1,1.33
4,2020-08-02,0,0,2.25,1.0,0,0,0,0,3,1.00
5,2020-08-04,0,0,1.93,0.2,0,0,0,0,0,0.86
6,2020-08-10,0,0,1.59,1.0,1,0,0,0,2,0.88
7,2020-08-11,0,0,3.86,1.1,3,2,1,0,1,1.14
8,2020-08-16,0,0,3.38,1.0,1,0,0,0,1,1.13
9,2020-08-17,0,0,3.00,1.0,0,0,0,0,2,1.00
10,2020-08-21,0,0,2.70,1.0,0,0,0,0,0,0.90
11,2020-08-23,0,0,2.45,1.0,1,0,0,1,1,1.00
12,2020-08-24,0,0,3.00,1.0,3,1,0,0,2,1.17
13,2020-08-29,0,0,4.26,0.2,2,2,1,0,1,1.26
14,2020-08-31,0,0,4.50,1.1,1,1,1,0,4,1.21
15,August,0,0,4.50,12.0,13,6,3,2,18,1.25
16,2020-09-04,0,0,4.20,1.0,0,0,0,0,3,1.13
17,2020-09-06,0,0,5.74,0.2,4,3,1,0,1,1.34
18,2020-09-08,0,0,5.40,1.0,1,0,0,1,2,1.38
19,2020-09-13,0,0,5.00,1.1,1,0,0,0,0,1.33
20,2020-09-16,0,0,4.74,1.0,0,0,0,0,3,1.26
21,2020-09-17,0,0,4.58,0.2,0,0,0,0,1,1.22
22,2020-09-20,0,0,4.35,1.0,0,0,0,0,2,1.16
23,2020-09-22,0,0,4.22,0.2,0,0,0,3,0,1.27
24,2020-09-25,0,0,4.03,1.0,0,0,0,0,1,1.21
25,2020-09-27,0,0,3.86,1.0,0,0,0,0,3,1.16
26,September,0,0,2.89,9.1,6,3,1,4,16,1.07
