,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-03,0,1,5.40,5.0,5,3,1,2,7,1.40
1,2021-04-08,0,1,5.23,5.1,10,3,2,0,5,1.65
2,2021-04-14,1,0,4.02,5.1,4,1,0,2,2,1.47
3,2021-04-21,1,0,3.92,5.0,3,2,0,2,7,1.35
4,2021-04-27,0,0,3.38,6.0,3,1,0,2,5,1.24
5,April,2,2,3.38,26.2,25,10,3,8,26,1.24
6,2021-05-03,0,1,3.24,6.2,2,2,0,3,5,1.14
7,2021-05-09,1,0,3.05,8.0,4,2,0,1,6,1.04
8,2021-05-15,0,0,3.50,5.0,6,4,2,2,7,1.10
9,2021-05-21,0,1,4.73,5.0,10,9,3,2,7,1.23
10,2021-05-27,0,1,4.63,5.0,5,2,2,1,4,1.22
11,May,1,3,5.76,29.2,27,19,7,9,29,1.21
12,2021-06-03,0,0,4.67,5.1,5,3,0,0,4,1.20
13,2021-06-09,0,1,4.52,6.0,6,2,2,2,2,1.21
14,2021-06-15,0,1,4.89,6.0,10,6,1,1,4,1.26
15,2021-06-22,0,0,4.82,6.2,5,3,1,1,4,1.23
16,2021-06-28,0,1,4.75,5.0,5,2,1,1,3,1.23
17,June,0,3,4.97,29.0,31,16,5,5,17,1.24
18,2021-07-04,1,0,4.39,7.0,3,0,0,2,6,1.19
19,2021-07-10,1,0,4.35,5.0,6,2,1,0,2,1.19
20,2021-07-20,0,0,4.35,6.0,7,3,0,1,6,1.20
21,2021-07-31,0,0,4.39,5.1,6,3,1,0,3,1.20
22,July,2,0,3.09,23.1,22,8,2,3,17,1.07
23,2021-08-05,0,0,4.35,5.0,5,2,0,2,4,1.21
24,2021-08-11,0,0,4.24,5.1,6,1,0,0,4,1.20
25,2021-08-17,1,0,4.10,6.0,3,1,1,0,4,1.17
26,2021-08-22,0,0,4.07,5.1,8,2,1,1,4,1.19
27,2021-08-28,0,1,4.06,7.0,8,3,2,0,6,1.19
28,August,1,1,2.83,28.2,30,9,4,3,22,1.15
29,2021-09-03,0,0,4.08,6.0,4,3,0,1,5,1.17
30,2021-09-08,0,0,4.20,4.2,7,4,2,3,4,1.20
31,2021-09-14,0,0,4.14,4.1,4,1,1,2,5,1.21
32,2021-09-20,1,0,4.01,7.0,4,1,0,1,7,1.19
33,2021-09-25,0,1,4.46,2.0,9,9,1,1,0,1.23
34,2021-09-28,0,0,4.41,4.0,2,1,1,0,2,1.22
35,September,1,1,6.11,28.0,30,19,5,8,23,1.36
36,2021-10-03,0,1,4.53,1.2,5,3,1,2,0,1.25
37,October,0,1,16.20,1.2,5,3,1,2,0,4.20
