,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2018-05-03,0,0,0.00,0.1,2,0,0,0,0,6.00
1,2018-05-04,0,0,0.00,1.0,0,0,0,0,2,1.50
2,2018-05-06,0,0,0.00,1.0,1,0,0,0,0,1.29
3,2018-05-08,0,1,8.10,1.0,2,3,1,1,0,1.80
4,2018-05-19,0,0,7.71,1.1,1,1,0,0,1,1.50
5,2018-05-28,1,0,5.40,2.0,0,0,0,0,2,1.05
6,2018-05-30,0,0,4.70,1.0,2,0,0,0,2,1.17
7,May,1,1,4.70,7.2,8,4,1,1,7,1.17
8,2018-06-01,0,0,5.19,1.0,1,1,1,0,0,1.15
9,2018-06-03,0,0,4.35,1.2,1,0,0,0,1,1.06
10,2018-06-06,0,0,4.91,0.2,2,1,0,1,0,1.27
11,2018-06-07,0,0,4.50,1.0,1,0,0,0,1,1.25
12,2018-06-09,0,0,4.38,0.1,1,0,0,0,0,1.30
13,2018-06-12,0,0,4.73,1.0,1,1,1,0,0,1.28
14,2018-06-16,0,0,4.61,0.1,0,0,0,0,0,1.24
15,2018-06-19,0,0,4.30,1.0,2,0,0,1,2,1.36
16,2018-06-20,0,0,4.70,0.2,3,1,0,0,0,1.50
17,2018-06-23,0,0,4.96,1.0,1,1,1,0,0,1.47
18,2018-06-26,0,1,4.76,0.2,2,0,0,0,1,1.53
19,2018-06-29,0,0,5.00,1.0,1,1,1,0,2,1.50
20,June,0,1,5.23,10.1,16,6,4,2,7,1.74
21,2018-07-03,0,0,5.21,1.0,1,1,1,0,2,1.47
22,July,0,0,9.00,1.0,1,1,1,0,2,1.00
23,2018-08-24,0,0,5.40,1.0,2,1,0,0,1,1.50
24,2018-08-26,0,0,5.57,1.0,1,1,1,0,0,1.48
25,August,0,0,9.00,2.0,3,2,1,0,1,1.50
26,2018-09-17,0,0,5.40,0.2,0,0,0,1,1,1.48
27,2018-09-22,0,0,5.73,0.1,1,1,0,0,0,1.50
28,2018-09-26,0,0,5.64,0.1,0,0,0,0,1,1.48
29,September,0,0,6.75,1.1,1,1,0,1,2,1.50
