,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2018-03-29,0,0,0.00,2.0,1,0,0,0,1,0.50
1,2018-03-30,0,0,0.00,0.1,0,0,0,0,0,0.43
2,March,0,0,0.00,2.1,1,0,0,0,1,0.43
3,2018-04-01,0,0,0.00,1.0,1,0,0,0,0,0.60
4,2018-04-04,0,0,2.08,1.0,1,1,1,0,0,0.69
5,2018-04-06,0,0,5.06,1.0,5,2,0,0,1,1.50
6,2018-04-08,0,0,4.26,1.0,0,0,0,0,1,1.26
7,2018-04-11,0,0,3.24,2.0,1,0,0,0,0,1.08
8,2018-04-13,0,0,4.00,0.2,1,1,0,0,0,1.11
9,2018-04-14,0,0,3.27,2.0,3,0,0,0,2,1.18
10,2018-04-16,0,0,3.00,1.0,0,0,0,0,2,1.08
11,2018-04-22,0,0,2.84,0.2,0,0,0,0,1,1.03
12,2018-04-23,0,0,2.51,1.2,1,0,0,0,0,0.98
13,2018-04-29,0,0,3.07,0.1,1,1,0,0,1,1.02
14,April,0,0,3.65,12.1,14,5,1,0,8,1.14
15,2018-05-01,0,0,2.87,1.0,1,0,0,0,1,1.02
16,2018-05-04,0,0,4.50,0.1,5,3,0,0,1,1.31
17,2018-05-05,0,0,4.00,2.0,1,0,0,3,4,1.39
18,2018-05-09,0,0,4.66,1.1,3,2,0,0,1,1.45
19,2018-05-11,0,0,4.35,1.1,1,0,0,0,0,1.40
20,2018-05-12,0,0,3.97,2.0,1,0,0,0,1,1.32
21,2018-05-14,0,0,4.01,2.0,1,1,1,0,0,1.26
22,2018-05-17,1,0,3.62,2.2,1,0,0,1,1,1.21
23,2018-05-18,0,0,3.54,0.2,1,0,0,1,0,1.25
24,2018-05-22,0,1,3.72,1.0,2,1,0,0,1,1.28
25,2018-05-24,1,0,3.38,3.0,2,0,0,0,4,1.22
26,2018-05-27,0,0,3.27,1.0,0,0,0,0,1,1.18
27,2018-05-28,0,0,3.18,1.0,0,0,0,0,0,1.15
28,May,2,1,3.26,19.1,19,7,1,5,15,1.24
29,2018-06-02,0,1,3.25,2.0,1,1,1,0,1,1.11
30,2018-06-03,0,0,3.16,1.0,1,0,0,0,1,1.11
31,2018-06-05,0,0,3.55,1.0,2,2,1,0,1,1.13
32,2018-06-07,0,0,3.46,1.0,0,0,0,0,1,1.10
33,2018-06-09,0,0,3.60,1.0,1,1,1,1,0,1.13
34,2018-06-16,0,0,3.51,1.0,0,0,0,0,0,1.10
35,2018-06-17,0,0,3.61,1.1,2,1,0,1,0,1.13
36,2018-06-22,0,0,3.74,1.0,1,1,1,1,1,1.15
37,2018-06-23,0,0,3.71,0.1,1,0,0,0,1,1.17
38,2018-06-25,0,0,3.89,0.1,1,1,0,0,0,1.18
39,2018-06-27,0,0,3.72,2.0,1,0,0,0,0,1.15
40,2018-06-29,0,0,3.66,0.2,1,0,0,0,1,1.16
41,June,0,1,4.97,12.2,12,7,4,3,7,1.18
42,2018-07-01,0,0,3.94,1.1,2,2,2,0,2,1.17
43,2018-07-06,0,0,3.78,2.0,0,0,0,1,1,1.14
44,2018-07-08,0,0,3.63,2.0,1,0,0,0,3,1.12
45,2018-07-10,0,0,3.50,2.0,1,0,0,0,3,1.09
46,2018-07-12,1,0,3.36,2.1,1,0,0,0,1,1.07
47,2018-07-14,1,0,3.20,2.2,2,0,0,0,3,1.05
48,2018-07-20,0,0,3.43,1.1,2,2,0,0,2,1.06
49,2018-07-21,1,0,3.38,1.0,0,0,0,0,2,1.04
50,2018-07-22,0,0,3.47,1.0,1,1,1,1,1,1.06
51,2018-07-25,0,0,3.43,0.2,1,0,0,0,0,1.06
52,2018-07-28,0,0,3.38,1.0,1,0,0,1,1,1.08
53,2018-07-29,0,0,3.29,1.2,0,0,0,0,2,1.05
54,2018-07-31,0,0,3.24,1.0,0,0,0,0,1,1.04
55,July,3,0,2.25,20.0,12,5,3,3,22,0.75
56,2018-08-03,0,0,3.15,2.0,0,0,0,0,3,1.00
57,2018-08-05,0,0,3.10,1.0,0,0,0,1,1,1.00
58,2018-08-07,0,0,3.14,2.0,3,1,0,1,1,1.03
59,2018-08-12,0,0,3.22,1.0,1,1,1,0,2,1.03
60,2018-08-14,0,0,3.19,0.2,0,0,0,0,0,1.02
61,2018-08-15,0,1,3.39,1.0,2,2,1,1,0,1.05
62,2018-08-18,0,0,3.46,1.0,1,1,1,0,0,1.05
63,2018-08-22,0,0,3.39,1.2,1,0,0,1,4,1.05
64,2018-08-23,0,0,3.30,2.0,0,0,0,0,3,1.03
65,2018-08-26,0,0,3.38,1.0,2,1,1,0,0,1.04
