,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2021-04-04,1,0,3.18,1,0,5.2,4,2,2,1,3,5,1.24
1,2021-04-10,0,1,11.05,1,0,1.2,5,7,7,0,3,2,2.05
2,2021-04-16,0,1,10.32,1,0,4.0,7,4,4,0,3,1,2.21
3,2021-04-21,0,0,8.80,1,0,4.0,5,2,2,1,2,2,2.09
4,2021-04-26,0,0,9.47,1,0,3.2,6,5,5,1,4,4,2.21
5,April,1,2,9.47,5,0,19.0,27,20,20,3,15,14,2.21
6,2021-05-01,0,0,8.22,1,0,4.0,4,2,1,0,3,3,2.13
7,2021-05-07,1,0,6.30,1,0,7.0,5,0,0,0,1,1,1.83
8,2021-05-12,0,0,5.60,1,0,5.1,6,1,1,0,2,4,1.78
9,2021-05-18,0,0,5.58,1,0,5.0,7,3,3,1,1,1,1.76
10,2021-05-23,0,0,4.96,1,0,5.0,4,0,0,0,3,3,1.72
11,2021-05-29,0,0,4.65,1,0,5.0,2,1,1,0,2,3,1.63
12,May,1,0,1.72,6,0,31.1,28,7,6,1,12,15,1.28
13,2021-06-03,0,1,4.94,1,0,4.1,8,4,4,0,2,4,1.68
14,2021-06-08,1,0,4.45,1,0,6.0,1,0,0,0,2,4,1.57
15,2021-06-13,1,0,4.01,1,0,6.2,2,0,0,0,2,6,1.47
16,2021-06-18,0,1,4.66,1,0,6.0,7,8,8,2,3,2,1.49
17,2021-06-24,1,0,4.31,1,0,6.0,0,0,0,0,5,4,1.44
18,2021-06-29,0,1,4.32,1,0,4.0,2,2,2,0,3,6,1.43
19,June,3,3,3.82,6,0,33.0,20,14,14,2,17,26,1.12
20,2021-07-05,0,0,4.28,1,0,5.0,4,2,2,2,2,1,1.42
21,2021-07-10,0,1,4.37,1,0,4.1,7,3,3,1,2,3,1.45
22,2021-07-18,0,0,4.35,1,0,4.2,6,2,2,0,4,3,1.48
23,2021-07-23,1,0,4.30,1,0,5.1,7,2,2,0,2,8,1.49
24,2021-07-28,0,1,4.39,1,0,6.0,7,4,4,1,4,8,1.51
25,July,1,2,4.62,5,0,25.1,31,13,13,4,14,23,1.78
26,2021-08-03,0,1,4.79,1,0,4.0,6,7,7,2,2,1,1.53
27,2021-08-08,0,1,5.26,1,0,2.0,7,7,7,3,1,5,1.57
28,2021-08-14,0,0,5.00,1,0,6.0,4,3,0,1,1,7,1.53
29,2021-08-20,0,1,5.04,1,0,6.0,5,4,4,4,1,5,1.51
30,2021-08-25,0,0,5.00,1,0,4.2,3,2,2,1,1,6,1.48
31,2021-08-31,0,0,4.91,1,0,4.1,6,1,1,0,0,3,1.48
32,August,0,3,7.00,6,0,27.0,31,24,21,11,6,27,1.37
33,2021-09-05,0,0,5.16,1,0,4.0,8,6,6,2,3,3,1.52
34,2021-09-11,0,1,5.40,1,0,2.0,4,5,5,1,3,1,1.55
35,2021-09-17,0,0,5.49,1,0,4.1,6,4,4,0,3,3,1.56
36,2021-09-24,0,1,5.78,1,0,2.0,7,6,6,1,2,2,1.60
37,September,0,2,15.32,4,0,12.1,25,21,21,4,11,9,2.92
