,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2019-04-02,1,0,0.00,5.0,3,0,0,1,9,0.80
1,2019-04-07,1,0,0.75,7.0,6,1,1,0,5,0.83
2,2019-04-13,0,1,3.94,4.0,10,6,3,0,4,1.25
3,2019-04-18,0,1,3.68,6.0,7,2,1,3,2,1.36
4,2019-04-23,0,1,4.15,4.0,4,3,1,1,3,1.35
5,2019-04-28,1,0,3.34,9.0,7,1,0,0,3,1.20
6,April,3,3,3.34,35.0,37,13,6,5,26,1.20
7,2019-05-05,1,0,3.00,7.0,4,1,1,2,5,1.14
8,2019-05-11,1,0,2.47,9.0,4,0,0,0,7,1.02
9,2019-05-16,0,1,2.89,5.0,7,4,1,2,7,1.09
10,2019-05-21,0,0,2.76,6.0,6,1,0,4,2,1.15
11,2019-05-26,0,1,3.02,3.2,6,3,2,1,4,1.19
12,May,2,2,2.64,30.2,27,9,4,9,25,1.17
13,2019-06-07,1,0,2.88,6.1,4,1,1,4,6,1.19
14,2019-06-12,0,1,2.81,8.0,5,2,0,1,9,1.15
15,2019-06-19,0,1,2.83,6.0,5,2,0,3,7,1.16
16,2019-06-24,1,0,3.26,5.0,11,6,3,1,4,1.23
17,2019-06-29,0,0,3.34,6.0,8,3,1,1,3,1.25
18,June,2,2,4.02,31.1,33,14,5,10,29,1.37
19,2019-07-04,0,1,3.78,3.0,7,6,2,2,3,1.30
20,2019-07-15,0,1,4.16,6.0,9,7,1,1,5,1.32
21,2019-07-20,0,1,4.25,4.0,5,3,0,0,3,1.32
22,2019-07-27,0,1,4.63,2.2,7,6,2,4,1,1.38
23,2019-07-31,0,0,4.59,1.0,1,0,0,2,2,1.40
24,July,0,4,11.88,16.2,29,22,5,9,14,2.28
25,2019-08-02,0,0,4.51,2.0,0,0,0,0,2,1.37
26,2019-08-06,0,0,4.53,1.2,2,1,1,0,2,1.37
27,2019-08-10,0,0,4.49,1.0,0,0,0,1,1,1.37
28,2019-08-17,0,0,4.57,3.2,7,3,0,2,2,1.40
29,2019-08-24,1,0,4.50,6.0,6,2,0,0,2,1.38
30,August,1,0,3.77,14.1,15,6,1,3,9,1.26
31,2019-09-01,0,0,4.33,7.0,3,1,1,1,3,1.34
32,2019-09-06,0,0,4.31,5.0,6,2,1,0,6,1.34
33,2019-09-11,0,1,4.20,3.2,3,0,1,3,5,1.34
34,2019-09-18,1,0,4.00,7.0,5,0,0,2,4,1.33
35,2019-09-23,0,1,4.16,5.0,8,5,3,4,2,1.36
36,2019-09-28,1,0,4.13,7.2,6,3,1,2,6,1.35
37,September,2,2,2.80,35.1,31,11,7,12,26,1.22
