,name,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,Jose Abreu,300.0,73.0,75.0,0.0,0.0,0.0,75.0,0.0,75.0,0.264,0.326,0.485,0.812
1,Willy Adames,197.0,0.0,65.0,0.0,0.0,0.0,1.0,0.0,65.0,0.24,0.303,0.391,0.694
2,Ehire Adrianza,113.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,53.0,0.233,0.3,0.363,0.663
3,Jesus Aguilar,210.0,0.0,70.0,0.0,0.0,0.0,70.0,0.0,70.0,0.261,0.341,0.464,0.805
4,Nick Ahmed,225.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,75.0,0.226,0.282,0.362,0.644
5,Shogo Akiyama,45.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,22.0,0.207,0.284,0.252,0.536
6,Hanser Alberto,141.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299,0.321,0.412,0.733
7,Ozzie Albies,304.0,76.0,76.0,0.0,0.0,0.0,76.0,0.0,76.0,0.265,0.318,0.476,0.794
8,Jorge Alfaro,165.0,0.0,55.0,0.0,0.0,0.0,1.0,0.0,55.0,0.247,0.301,0.383,0.684
9,Anthony Alford,33.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.141,0.229,0.243,0.472
10,Pete Alonso,223.0,56.0,56.0,0.0,0.0,0.0,56.0,0.0,56.0,0.259,0.351,0.535,0.886
11,Jose Altuve,276.0,69.0,69.0,0.0,0.0,0.0,67.0,0.0,69.0,0.294,0.359,0.466,0.825
12,Yordan Alvarez,139.0,35.0,35.0,0.0,0.0,0.0,35.0,0.0,35.0,0.307,0.368,0.575,0.943
13,Brian Anderson,248.0,5.0,62.0,0.0,0.0,0.0,0.0,0.0,62.0,0.251,0.34,0.384,0.724
14,Tim Anderson,272.0,67.0,68.0,0.0,0.0,0.0,1.0,0.0,68.0,0.3,0.338,0.486,0.824
15,Elvis Andrus,252.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0,0.251,0.302,0.364,0.666
16,Miguel Andujar,130.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,35.0,0.18,0.203,0.246,0.449
17,Aristides Aquino,71.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,25.0,0.235,0.336,0.536,0.871
